step=1/20 step_time=29.9s loss_mean=0.0068 mean_reward=1.096 correct_rate=0.688 mean_search_calls=1.28 input_tokens=43802 loss_tokens=2932 padded_tokens=57968
step=2/20 step_time=54.9s loss_mean=0.0062 mean_reward=0.386 correct_rate=0.094 mean_search_calls=1.80 input_tokens=82726 loss_tokens=6921 padded_tokens=109400
step=3/20 step_time=59.2s loss_mean=0.0054 mean_reward=0.710 correct_rate=0.406 mean_search_calls=1.92 input_tokens=69883 loss_tokens=5679 padded_tokens=88108
step=4/20 step_time=32.9s loss_mean=0.0211 mean_reward=1.343 correct_rate=0.938 mean_search_calls=1.64 input_tokens=35122 loss_tokens=2378 padded_tokens=51312
step=5/20 step_time=57.7s loss_mean=0.0435 mean_reward=0.944 correct_rate=0.656 mean_search_calls=2.08 input_tokens=56826 loss_tokens=4506 padded_tokens=67447
step=6/20 step_time=20.9s loss_mean=-0.0016 mean_reward=1.415 correct_rate=0.984 mean_search_calls=1.39 input_tokens=11186 loss_tokens=743 padded_tokens=13944
step=7/20 step_time=25.9s loss_mean=0.0119 mean_reward=1.126 correct_rate=0.766 mean_search_calls=1.52 input_tokens=33065 loss_tokens=2170 padded_tokens=51864
step=8/20 step_time=24.0s loss_mean=0.0003 mean_reward=1.005 correct_rate=0.609 mean_search_calls=1.41 input_tokens=38750 loss_tokens=2457 padded_tokens=63776
step=9/20 step_time=25.1s loss_mean=0.0008 mean_reward=1.441 correct_rate=1.000 mean_search_calls=1.19 input_tokens=19779 loss_tokens=1221 padded_tokens=21744
step=10/20 step_time=39.0s loss_mean=-0.0017 mean_reward=1.350 correct_rate=0.906 mean_search_calls=1.12 input_tokens=17223 loss_tokens=1065 padded_tokens=20448
step=11/20 step_time=45.5s loss_mean=0.0528 mean_reward=1.305 correct_rate=0.891 mean_search_calls=1.50 input_tokens=33047 loss_tokens=2728 padded_tokens=65606
step=12/20 step_time=18.8s loss_mean=-0.0001 mean_reward=1.270 correct_rate=0.859 mean_search_calls=1.00 input_tokens=13943 loss_tokens=727 padded_tokens=14688
step=13/20 step_time=23.7s loss_mean=0.0113 mean_reward=1.180 correct_rate=0.797 mean_search_calls=1.44 input_tokens=29665 loss_tokens=1840 padded_tokens=32952
step=14/20 step_time=18.4s loss_mean=skipped mean_reward=1.431 correct_rate=1.000 mean_search_calls=1.38 input_tokens=0 loss_tokens=0 padded_tokens=0
step=15/20 step_time=25.8s loss_mean=0.0006 mean_reward=1.414 correct_rate=0.984 mean_search_calls=1.34 input_tokens=31481 loss_tokens=1903 padded_tokens=32424
step=16/20 step_time=16.1s loss_mean=skipped mean_reward=1.431 correct_rate=1.000 mean_search_calls=1.38 input_tokens=0 loss_tokens=0 padded_tokens=0
step=17/20 step_time=22.4s loss_mean=-0.0162 mean_reward=1.301 correct_rate=0.875 mean_search_calls=1.48 input_tokens=34874 loss_tokens=2001 padded_tokens=43232
step=18/20 step_time=23.4s loss_mean=-0.0049 mean_reward=1.316 correct_rate=0.891 mean_search_calls=1.48 input_tokens=20059 loss_tokens=1263 padded_tokens=21264
step=19/20 step_time=28.3s loss_mean=-0.0011 mean_reward=1.254 correct_rate=0.844 mean_search_calls=1.73 input_tokens=30071 loss_tokens=1869 padded_tokens=39648
step=20/20 step_time=31.7s loss_mean=0.0002 mean_reward=1.427 correct_rate=1.000 mean_search_calls=1.39 input_tokens=18234 loss_tokens=1047 padded_tokens=21424
